Date,Close,Layoffs
03/03/2023,140.98,0
02/24/2023,144.51,0
02/16/2023,145.19,0
02/09/2023,141.02,0
02/02/2023,143.52,0
01/26/2023,142.15,0
01/19/2023,142.84,0
01/11/2023,145.2,0
01/04/2023,142.52,0
12/27/2022,144.06,0
12/19/2022,145.01,0
12/12/2022,148.22,0
12/05/2022,152.73,0
11/28/2022,152.37,0
11/18/2022,146.51,0
11/11/2022,141.93,0
11/04/2022,141.29,0
10/28/2022,140.77,0
10/21/2022,134.03,0
10/14/2022,131.17,0
10/07/2022,131.99,0
09/30/2022,131.46,0
09/23/2022,133.22,0
09/16/2022,134.97,0
09/09/2022,134.87,0
09/01/2022,132.8,0
08/25/2022,135.29,0
08/18/2022,136.56,0
08/11/2022,128.4,0
08/04/2022,130.67,0
07/28/2022,128.51,0
07/21/2022,130.12,0
07/14/2022,125.82,0
07/07/2022,123.78,0
06/29/2022,123.15,0
06/22/2022,120.23,0
06/14/2022,120.78,0
06/07/2022,125.3,0
05/31/2022,126.12,0
05/23/2022,122.93,0
05/16/2022,148.11,0
05/09/2022,152.15,0
05/02/2022,154.14,0
04/25/2022,158.19,0
04/18/2022,155.54,0
04/08/2022,154.29,0
04/01/2022,148.61,0
03/25/2022,143.25,0
03/18/2022,145.13,0
03/11/2022,140.91,0
03/04/2022,137.88,0
02/25/2022,136.08,0
02/17/2022,135.21,0
02/10/2022,137.81,0
02/03/2022,140.02,0
01/27/2022,137.83,0
01/20/2022,143.64,0
01/12/2022,144.13,0
01/05/2022,143.69,0
12/29/2021,141.11,0
12/21/2021,141.34,0
12/14/2021,141.04,0
12/07/2021,137.53,0
11/30/2021,144.1,0
11/22/2021,143.09,0
11/15/2021,148.28,0
11/08/2021,150.14,0
11/01/2021,148.79,0
10/25/2021,147.18,0
10/18/2021,139.97,0
10/11/2021,138.53,0
10/04/2021,138.62,0
09/27/2021,142.78,0
09/20/2021,144.27,0
09/13/2021,146.42,0
09/03/2021,148.28,0
08/27/2021,148.44,0
08/20/2021,150.42,0
08/13/2021,148.57,0
08/06/2021,143.92,0
07/30/2021,142.42,0
07/23/2021,141.59,0
07/16/2021,141.08,0
07/09/2021,139.93,0
07/01/2021,138.85,0
06/24/2021,136.29,0
06/17/2021,139.24,0
06/10/2021,140.31,0
06/03/2021,141.67,0
05/26/2021,142.09,0
05/19/2021,140.1,0
05/12/2021,139.51,0
05/05/2021,140.6,0
04/28/2021,138.75,0
04/21/2021,140.49,0
04/14/2021,139.6,0
04/07/2021,138.16,0
03/30/2021,134.93,0
03/23/2021,132.07,0
03/16/2021,133.05,0
03/09/2021,128.2,0
03/02/2021,131.31,0
02/23/2021,139.27,0
02/16/2021,144.82,0
02/08/2021,142.78,0
02/01/2021,142.97,0
01/25/2021,145.26,0
01/15/2021,147.06,0
01/08/2021,146.44,0
12/31/2020,144.27,0
12/23/2020,145.09,0
12/16/2020,146.14,0
12/09/2020,148.81,0
12/02/2020,151.88,0
11/24/2020,150.75,0
11/17/2020,149.71,0
11/10/2020,144.06,0
11/03/2020,140.38,0
10/27/2020,143.37,0
10/20/2020,144.01,0
10/13/2020,143.1,0
10/06/2020,141.18,0
09/29/2020,136.87,0
09/22/2020,136.72,0
09/15/2020,137.62,0
09/08/2020,144.22,0
08/31/2020,135.42,0
08/24/2020,132.13,0
08/17/2020,132.43,0
08/10/2020,130.53,0
08/03/2020,130.25,0
07/27/2020,131.82,0
07/20/2020,131.88,0
07/13/2020,127.87,0
07/06/2020,119.33,0
06/26/2020,120.22,0
06/19/2020,118.92,0
06/12/2020,120.32,0
06/05/2020,123.01,0
05/29/2020,123.68,0
05/21/2020,125.8,0
05/14/2020,123.5,0
05/07/2020,123.31,0
04/30/2020,126.18,0
04/23/2020,130.26,0
04/16/2020,127.44,0
04/08/2020,121.61,0
04/01/2020,112.47,0
03/25/2020,114.43,0
03/18/2020,113.35,0
03/11/2020,116.91,0
03/04/2020,115.19,0
